"Item"	"Subject"	"Block"	"Stimuli"	"Context"	"Correct"	"Response"	"RT"	"RT_log"	"Lg_Heard"	"Main_Context"	"Group"
"182"	"A182"	"BE_06"	"Block3"	"Stim18"	"CSSE"	1	"CS"	354	2.549003262	"Sp"	"CS"	"supsw"
"183"	"A183"	"BE_03"	"Block3"	"Stim18"	"CSSE"	0	"ML"	282	2.450249108	"Sp"	"CS"	"nonsw"
"184"	"A184"	"BE_06"	"Block3"	"Stim23"	"CSSE"	1	"CS"	845	2.926856709	"Sp"	"CS"	"supsw"
"185"	"A185"	"BE_03"	"Block3"	"Stim22"	"CSSE"	1	"CS"	854	2.931457871	"Sp"	"CS"	"nonsw"
"186"	"A186"	"BE_06"	"Block3"	"Stim30"	"CSSE"	1	"CS"	818	2.912753304	"Sp"	"CS"	"supsw"
"187"	"A187"	"BE_03"	"Block3"	"Stim23"	"CSSE"	0	"ML"	274	2.437750563	"Sp"	"CS"	"nonsw"
"188"	"A188"	"BE_06"	"Block3"	"Stim06"	"CSSE"	1	"CS"	281	2.44870632	"Sp"	"CS"	"supsw"
"189"	"A189"	"BE_03"	"Block3"	"Stim24"	"CSSE"	0	"ML"	372	2.57054294	"Sp"	"CS"	"nonsw"
"190"	"A190"	"BE_06"	"Block3"	"Stim13"	"CSSE"	0	"ML"	2003	3.301680949	"Sp"	"CS"	"supsw"
"191"	"A191"	"BE_03"	"Block3"	"Stim30"	"CSSE"	0	"ML"	889	2.948901761	"Sp"	"CS"	"nonsw"
"192"	"A192"	"BE_06"	"Block3"	"Stim22"	"CSSE"	0	"ML"	3003	3.477555332	"Sp"	"CS"	"supsw"
"193"	"A193"	"BE_03"	"Block3"	"Stim36"	"CSSE"	0	"ML"	328	2.515873844	"Sp"	"CS"	"nonsw"
"194"	"A194"	"BE_06"	"Block3"	"Stim24"	"CSSE"	0	"ML"	591	2.771587481	"Sp"	"CS"	"supsw"
"195"	"A195"	"BE_03"	"Block3"	"Stim04"	"CSSE"	0	"ML"	1439	3.158060794	"Sp"	"CS"	"nonsw"
"196"	"A196"	"BE_06"	"Block3"	"Stim36"	"CSSE"	0	"ML"	565	2.752048448	"Sp"	"CS"	"supsw"
"197"	"A197"	"BE_03"	"Block3"	"Stim05"	"CSSE"	0	"ML"	560	2.748188027	"Sp"	"CS"	"nonsw"
"198"	"A198"	"BE_06"	"Block3"	"Stim04"	"CSSE"	0	"ML"	566	2.752816431	"Sp"	"CS"	"supsw"
"199"	"A199"	"BE_03"	"Block3"	"Stim06"	"CSSE"	0	"ML"	467	2.669316881	"Sp"	"CS"	"nonsw"
"200"	"A200"	"BE_06"	"Block3"	"Stim05"	"CSSE"	0	"ML"	1526	3.183554534	"Sp"	"CS"	"supsw"
"201"	"A201"	"BE_03"	"Block3"	"Stim14"	"E"	1	"ML"	886	2.947433722	"Eng"	"ML"	"nonsw"
